"Release_poly","Settlement_poly","Distance","Count"
1023,1024,68.7219096934042,371172
1023,1025,201.546096944406,197
1023,1070,137.295559363951,1241
1023,1071,114.629247453545,2348
1023,879,334.647742360635,8
1023,880,345.535437223536,11
1023,927,229.25849490709,9552
1023,928,234.178611225208,14740
1023,973,167.45937875076,17
1023,974,127.499288407508,2860
1023,975,114.629247453545,235122
1023,976,111.533367853829,90342
1023,977,155.687638773617,32
1024,1023,68.7219096934042,100134
1024,1025,187.537664670371,4550
1024,1071,151.113408885905,29
1024,880,316.985847724439,2
1024,926,188.324746588662,1
1024,927,215.331935590159,8576
1024,928,205.629021726112,13694
1024,973,216.742916320851,64
1024,974,156.463961523569,5251
1024,975,110.655499135117,287841
1024,976,60.8254581811537,212276
1024,977,86.9657290802126,1501
1025,1023,201.546096944406,24
1025,1024,187.537664670371,1782
1025,1026,41.72,328491
1025,1027,122.361909693404,42295
1025,1028,197.043819386808,471
1025,1029,268.563819386808,1
1025,1070,259.805729080213,201
1025,1071,197.407638773617,20860
1025,1072,126.251458160425,150556
1025,1073,74.3943979993393,367221
1025,1074,82.8162926355349,288347
1025,1075,126.615277547234,7173
1025,1076,210.419096934042,140
1025,1120,207.354555193308,199
1025,1121,157.912017498085,89
1025,1122,170.069247453545,3617
1025,1123,193.471791770652,72
1026,1024,229.257664670371,305
1026,1025,41.72,23579
1026,1027,80.6419096934042,349122
1026,1028,155.323819386808,23692
1026,1029,226.843819386808,679
1026,1030,289.241909693404,2
1026,1071,239.127638773617,753
1026,1072,167.971458160425,21110
1026,1073,101.486875387616,102599
1026,1074,74.8573118633862,244913
1026,1075,96.1363227499521,70063
1026,1076,168.699096934042,8880
1026,1077,234.259096934042,34
1026,1121,175.92667563505,1
1026,1122,169.131935590159,89
1027,1025,122.361909693404,11
1027,1026,80.6419096934042,3722
1027,1028,74.6819096934042,448014
1027,1029,146.201909693404,111950
1027,1030,208.6,8536
1027,1031,292.767638773617,338
1027,1073,173.931458160425,5
1027,1074,105.573367853829,1577
1027,1075,67.4919355901587,119406
1027,1076,103.045247510929,196536
1027,1077,153.617187240638,12025
1027,1078,212.853367853829,9
1027,982,285.235006648175,268
1027,983,329.982916320851,527
1028,1026,155.323819386808,6
1028,1027,74.6819096934042,58196
1028,1029,71.52,428507
1028,1030,140.241909693404,149009
1028,1031,224.409548467021,9794
1028,1032,275.251458160425,12
1028,1074,173.931458160425,1
1028,1075,108.371458160425,7628
1028,1076,75.7946237267725,49869
1028,1077,92.0498302837385,32454
1028,1078,138.171458160425,334
1028,935,357.243817704062,3
1028,982,216.876916341579,11123
1028,983,261.624826014255,28440
1028,984,327.184826014255,801
1029,1027,146.201909693404,15
1029,1028,71.52,4273
1029,1030,68.7219096934042,342074
1029,1031,152.889548467021,78721
1029,1032,203.731458160425,405
1029,1076,112.482292614806,110
1029,1077,76.7319355901587,12022
1029,1078,74.1454882955709,2331
1029,934,299.876189691878,29
1029,935,287.597325237848,4551
1029,936,321.100907979565,5530
1029,937,367.925832641701,5
1029,982,147.230423875365,120775
1029,983,191.978333548041,436919
1029,984,255.664826014255,35536
1029,985,324.750555094467,10
1030,1028,140.241909693404,4
1030,1029,68.7219096934042,6824
1030,1031,84.1676387736169,115254
1030,1032,135.009548467021,1752
1030,1077,119.391217375783,1
1030,1078,67.4919355901587,25
1030,889,405.272065282739,1
1030,934,258.853118633862,188
1030,935,243.301832724615,20147
1030,936,269.240566090238,32778
1030,937,314.191983218588,630
1030,982,105.389247453545,110368
1030,983,140.117991658715,647403
1030,984,186.942916320851,155809
1030,985,256.028645401063,270
1031,1029,152.889548467021,2
1031,1030,84.1676387736169,24966
1031,1032,50.8419096934042,18908
1031,889,333.137366269924,17
1031,890,366.640949011641,1
1031,934,218.143871180317,2
1031,935,188.549247453545,1712
1031,936,198.618836952642,19377
1031,937,237.518374580117,3952
1031,982,81.0544130565479,3989
1031,983,75.7946237267725,459160
1031,984,108.395800148593,425217
1031,985,171.861006627446,1727
1032,1030,135.009548467021,2120
1032,1031,50.8419096934042,235760
1032,889,304.127290905768,192
1032,890,327.040084520955,33
1032,935,179.309247453545,185
1032,936,172.881183043704,16242
1032,937,197.917510089431,8104
1032,938,266.418133795475,2
1032,982,114.331458160425,130
1032,983,74.3943979993393,259271
1032,984,71.8208754083443,690502
1032,985,130.386634602974,3519
1070,1023,137.295559363951,116861
1070,1024,192.902916320851,81565
1070,1025,259.805729080213,3
1070,1071,68.7219096934042,308775
1070,1072,152.525729080213,21375
1070,1073,227.207638773617,1393
1070,1120,178.45479597795,1900
1070,1121,237.784826014255,74
1070,1167,234.749247453545,8
1070,975,242.600505861404,99
1070,976,246.955419683994,111
1071,1023,114.629247453545,59763
1071,1024,151.113408885905,56818
1071,1025,197.407638773617,14
1071,1070,68.7219096934042,294410
1071,1072,83.8038193868084,165406
1071,1073,158.485729080213,42845
1071,1074,233.167638773617,760
1071,1120,132.646333589498,26112
1071,1121,172.809931388423,4735
1071,1122,252.866735707659,2
1071,1167,228.321183043704,40
1071,975,229.25849490709,92
1071,976,208.912927316622,288
1071,977,224.964585229613,1
1072,1023,141.068228225694,10881
1072,1024,142.349247453545,1044
1072,1025,126.251458160425,813
1072,1026,167.971458160425,887
1072,1027,242.289548467021,5
1072,1070,152.525729080213,14094
1072,1071,83.8038193868084,85624
1072,1073,74.6819096934042,534466
1072,1074,149.363819386808,100296
1072,1075,214.923819386808,1030
1072,1076,298.727638773617,1
1072,1120,105.389247453545,91004
1072,1121,107.380649680911,40198
1072,1122,172.809931388423,6380
1072,1123,225.864826014255,72
1072,1167,236.752133816203,1
1073,1023,190.963183080359,49
1073,1024,176.954750806324,437
1073,1025,74.3943979993393,1210
1073,1026,101.486875387616,7293
1073,1027,173.931458160425,5402
1073,1028,242.289548467021,363
1073,1029,313.809548467021,1
1073,1070,227.207638773617,70
1073,1071,158.485729080213,10652
1073,1072,74.6819096934042,58160
1073,1074,74.6819096934042,701356
1073,1075,140.241909693404,107059
1073,1076,224.045729080213,2194
1073,1077,289.605729080213,2
1073,1120,134.473127069188,240
