Day,Month,Year,Decade,Country,Record_Type,Latitude,Longitude,Coord_Uncertainty_m,Vitality,Quantity,Quantity_Type,Habitat,Verification,Reference,Notes,Translated_Notes,Dataset_Name,Dataset_Key,Publishing_Org_Key,Institution_Code,Institution_ID,Rights_Holder,Access_Rights,License,Database
10,12,1995,1990s,Belgium,Observation,51.10532,2.58652,805,Unknown,2,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183052232,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
2,9,1995,1990s,Belgium,Observation,51.11006,2.6051,940,Unknown,4,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183047744,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
23,9,1995,1990s,Belgium,Observation,51.11222,2.60719,940,Alive,2,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183050326,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
1,9,1995,1990s,Belgium,Observation,51.12321,2.63171,906,Alive,7,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183047290,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
29,10,1995,1990s,Belgium,Observation,51.1642,2.75064,615,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183051952,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
3,10,1995,1990s,Belgium,Observation,51.16535,2.7557,615,Unknown,5,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183051858,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
23,12,1995,1990s,Belgium,Observation,51.16535,2.7557,615,Unknown,12,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183052245,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
11,2,1997,1990s,Belgium,Observation,51.15005,2.72822,999,Alive,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183213847,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
3,12,1998,1990s,Belgium,Observation,51.11051,2.6028,940,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183964374,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
7,3,1998,1990s,Belgium,Observation,51.11222,2.60719,940,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183215648,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
31,10,1999,1990s,Belgium,Observation,51.27899,3.02999,Unknown,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/41182270,washed ashore,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
5,8,1999,1990s,Belgium,Observation,51.31098,3.11866,100,Unknown,100,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40621818,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
28,11,1999,1990s,Belgium,Observation,51.33313,3.202,100,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40621871,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
17,3,2001,2000s,Belgium,Observation,51.11939,2.61966,100,Unknown,1,Count,NA,Probable,https://waarnemingen.be/observation/40031455,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
21,8,2001,2000s,Belgium,Observation,51.34419,3.22972,100,Unknown,101,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40880340,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
21,7,2001,2000s,Belgium,Observation,51.34723,3.25367,100,Unknown,100,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40882477,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
26,10,2004,2000s,Belgium,Observation,51.09422,2.55986,100,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/165786209,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
13,8,2004,2000s,Belgium,Observation,51.15606,2.71951,10,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/55615048,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
14,5,2004,2000s,Belgium,Observation,51.30975,3.20535,100,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40179010,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
12,6,2004,2000s,Belgium,Observation,51.33311,3.20174,100,Unknown,100,Count,NA,Unconfirmed,https://waarnemingen.be/observation/40737821,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
11,3,2004,2000s,Belgium,Observation,51.34884,3.22638,Unknown,Unknown,101,Count,NA,Unconfirmed,https://waarnemingen.be/observation/41900964,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
14,3,2005,2000s,Belgium,Observation,51.12085,2.62958,906,Alive,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/183970072,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
7,11,2006,2000s,Belgium,Observation,51.10084,2.57629,100,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/63074021,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
17,6,2006,2000s,Belgium,Observation,51.3334,3.20346,Unknown,Unknown,1,Count,NA,Unconfirmed,https://waarnemingen.be/observation/42081166,NA,NA,"Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",9a0b66df-7535-4f28-9f4e-5bc11b8b096c,4d3ceea8-5699-439d-a899-decac9cbbdac,Natuurpunt,NA,Natuurpunt Studie,http://www.natuurpunt.be/normen-voor-datagebruik,http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF
